firm,year,positive,negative,compound_sentiment,total_tokens,Equity,Fixed Income,Real Estate,Commodities,Alternatives,Infrastructure,Private Equity,Hedge Funds,Cash
BlackRock,2022,89.0,158.0,-0.2793522267206478,1.0,0.19207918643951416,0.17282839864492416,0.15080251172184944,0.02192363701760769,-0.8079058602452278,0.7862697886303067,0.9034997206181288,,
BlackRock,2023,112.0,221.0,-0.32732732732732733,1.0,0.2428220734000206,0.24959324672818184,0.04161352850496769,0.07106964755803347,-0.4157385751605034,0.5154998302459717,-0.017734795808792114,,0.9282647036015987
BlackRock,2024,175.0,166.0,0.026392961876832845,1.0,-0.052102357149124146,0.2991081662476063,0.6328314170241356,0.015542149543762207,,0.26774912793189287,,,0.12186422850936651
BlackRock,2025,133.0,166.0,-0.11036789297658862,1.0,0.5283219292759895,0.11676289886236191,-0.5305076465010643,0.04772081971168518,0.7517929906025529,0.22656906954944134,-0.08404091000556946,,0.32233917992562056
FranklinTempleton,2022,210.0,226.0,-0.03669724770642202,1.0,-0.21358094364404678,-0.33677949011325836,0.1779070496559143,,0.11462770588696003,0.13068533688783646,,,-0.01855635643005371
FranklinTempleton,2023,265.0,286.0,-0.038112522686025406,1.0,0.35109372437000275,0.08472752571105957,-0.321507528424263,-0.9503389066085219,0.13860071264207363,0.47216514870524406,,,0.8633814733475447
FranklinTempleton,2024,46.0,29.0,0.22666666666666666,1.0,0.5033185109496117,0.04478809982538223,,,0.030021140351891518,,,,0.893211224116385
FranklinTempleton,2025,122.0,216.0,-0.2781065088757396,1.0,-0.049294084310531616,-0.08688593655824661,-0.05584637448191643,-0.006515085697174072,-0.04863027110695839,-0.06893420964479446,-0.0459970086812973,-0.055161602795124054,-0.04352085292339325
GMO,2023,14.0,6.0,0.4,1.0,0.05296338349580765,,,,,,,,
GMO,2024,31.0,34.0,-0.046153846153846156,1.0,0.10127104073762894,-0.018223151564598083,,,,,,,-0.018223151564598083
GMO,2025,15.0,22.0,-0.1891891891891892,1.0,0.057333849370479584,0.06747213006019592,,,,,,,
Invesco,2020,96.0,136.0,-0.1724137931034483,1.0,0.5979131162166595,0.8384325094521046,0.26892951130867004,-0.9176260568201542,0.4460536800324917,0.7082227738574147,0.3102354211732745,0.3102354211732745,0.5754951406270266
Invesco,2021,79.0,77.0,0.01282051282051282,1.0,0.3793992046266794,0.11590982042253017,0.041552793234586716,0.9012693502008915,0.8168359231203794,-0.0032058488577604294,-0.016521919518709183,-0.016521919518709183,0.7843690738081932
Invesco,2022,77.0,110.0,-0.17647058823529413,1.0,0.19252118468284607,0.41227759048342705,0.12544731982052326,0.10096284374594688,0.29407490324229,0.3880643080919981,0.447456780821085,0.6569362189620733,
Invesco,2023,142.0,290.0,-0.3425925925925926,1.0,0.08896781504154205,0.06652863323688507,0.15386318042874336,0.02895050123333931,0.2519609918817878,0.02895050123333931,0.11672679241746664,,
Invesco,2024,155.0,227.0,-0.18848167539267016,1.0,0.43326789140701294,0.5642161350697279,0.41620729118585587,0.499289708212018,0.4036974310874939,0.9292242154479027,-0.39750637859106064,,-0.6739096455276012
Invesco,2025,139.0,242.0,-0.27034120734908135,1.0,0.2558400556445122,0.3099223952740431,0.036454737186431885,0.00841902568936348,0.04052203334867954,0.9045849293470383,0.00987413339316845,-0.12226211093366146,-0.02177375927567482
JPMorgan,2020,105.0,177.0,-0.2553191489361702,1.0,0.6568244714289904,-0.5927488207817078,,,0.8157289866358042,0.4600641094148159,,,0.005084972828626633
JPMorgan,2021,126.0,159.0,-0.11578947368421053,1.0,0.7520813047885895,0.36064502596855164,0.5444943001493812,,0.74775212071836,0.8068432584404945,,0.19143038615584373,0.4067360395565629
